1.0118e-02	1.1061e-03
1.1372e-02	8.2425e-04
1.3551e-02	5.6471e-04
1.5054e-02	4.577e-04
1.9698e-02	3.8151e-04
2.5178e-02	2.6507e-04
3.0355e-02	1.4719e-04
3.5336e-02	1.1439e-04
4.0657e-02	1.0084e-04
4.9594e-02	9.4023e-05
6.2655e-02	9.2716e-05
7.9155e-02	9.6694e-05
1.0237e-01	1.0665e-04
1.3084e-01	1.2098e-04
1.6724e-01	1.4719e-04
2.0883e-01	1.9207e-04
2.214e-01	2.3697e-04
2.4028e-01	2.843e-04
2.7645e-01	3.8689e-04
3.0712e-01	4.8408e-04
3.256e-01	5.4911e-04
3.5336e-01	6.4057e-04
4.1135e-01	8.7174e-04
4.5698e-01	1.0755e-03
4.7885e-01	1.4035e-03
5.1364e-01	1.3457e-03
5.4455e-01	1.592e-03
5.7062e-01	1.6603e-03
5.8411e-01	1.9369e-03
6.0496e-01	2.3565e-03
6.2655e-01	2.5992e-03
6.5654e-01	2.749e-03
6.7997e-01	3.2521e-03
6.8796e-01	4.069e-03
7.2089e-01	5.0911e-03
