0.002 7.943282347242822e-06 0.001
0.003 7.943282347242822e-06 0.001
0.004 7.943282347242822e-06 0.001
0.005 7.943282347242822e-06 0.0005011872336272725
0.007 3.981071705534969e-06 0.0005011872336272725
0.01 3.981071705534969e-06 0.00025118864315095795
0.02 1.9952623149688787e-06 0.00012589254117941674
0.04 1.9952623149688787e-06 6.309573444801929e-05
0.06 1.9952623149688787e-06 3.1622776601683795e-05
0.08 1e-06 3.1622776601683795e-05
0.1 1e-06 3.1622776601683795e-05
0.12 1e-06 1.584893192461114e-05
0.14 1e-06 1.584893192461114e-05
0.16 1e-06 1.584893192461114e-05
0.18 1e-06 1.584893192461114e-05
0.2 1e-06 7.943282347242822e-06
0.22 5.011872336272725e-07 7.943282347242822e-06
0.25 5.011872336272725e-07 7.943282347242822e-06
0.27 5.011872336272725e-07 3.981071705534969e-06
0.29 5.011872336272725e-07 3.981071705534969e-06
0.31 5.011872336272725e-07 3.981071705534969e-06
0.33 5.011872336272725e-07 3.981071705534969e-06
0.35 5.011872336272725e-07 3.981071705534969e-06
0.37 5.011872336272725e-07 3.981071705534969e-06
0.39 5.011872336272725e-07 3.981071705534969e-06
0.41 5.011872336272725e-07 3.981071705534969e-06
0.43 5.011872336272725e-07 1.9952623149688787e-06
0.45 5.011872336272725e-07 1.9952623149688787e-06
0.47 5.011872336272725e-07 1.9952623149688787e-06
0.49 5.011872336272725e-07 1.9952623149688787e-06
0.51 5.011872336272725e-07 1.9952623149688787e-06
0.53 2.5118864315095823e-07 1.9952623149688787e-06
0.55 2.5118864315095823e-07 1.9952623149688787e-06
0.57 2.5118864315095823e-07 1.9952623149688787e-06
0.59 2.5118864315095823e-07 1.9952623149688787e-06
0.61 2.5118864315095823e-07 1.9952623149688787e-06
0.63 2.5118864315095823e-07 1.9952623149688787e-06
0.65 2.5118864315095823e-07 1e-06
0.67 2.5118864315095823e-07 1e-06
0.69 1.2589254117941662e-07 1e-06
0.71 1.2589254117941662e-07 1e-06
0.73 1.2589254117941662e-07 1e-06
0.75 6.30957344480193e-08 1e-06
0.77 3.162277660168379e-08 1e-06
0.79 3.162277660168379e-08 1e-06
0.81 1.2589254117941662e-07 1e-06
0.83 1.2589254117941662e-07 1e-06
0.85 1.2589254117941662e-07 1e-06
0.87 1.2589254117941662e-07 1e-06
0.89 1.2589254117941662e-07 1e-06
0.91 2.5118864315095823e-07 1e-06
0.93 2.5118864315095823e-07 1e-06
0.95 2.5118864315095823e-07 1e-06
0.97 2.5118864315095823e-07 1e-06
0.99 2.5118864315095823e-07 1e-06
1.01 2.5118864315095823e-07 5.011872336272725e-07
1.05 2.5118864315095823e-07 5.011872336272725e-07
1.07 2.5118864315095823e-07 5.011872336272725e-07
1.09 2.5118864315095823e-07 5.011872336272725e-07
1.11 2.5118864315095823e-07 5.011872336272725e-07
