297.27272727272725, 1.9268525622797425e-9
295.97402597402595, 5.189810676624147e-10
297.48917748917745, 5.189810676624147e-10
299.2207792207792, 5.000229050913541e-10
300.95238095238096, 4.5986066459191253e-10
302.90043290043286, 4.03701725859655e-10
305.49783549783547, 3.99963354371967e-10
307.2294372294372, 4.513832659768975e-10
309.1774891774892, 4.3489442298925183e-10
311.55844155844153, 5.046965116884396e-10
311.55844155844153, 1.256000750742976e-9
309.3939393939394, 1.7720862201276577e-9
307.4458874458874, 2.0565123083486515e-9
305.28138528138527, 2.114718308389146e-9
303.1168831168831, 2.257019719633917e-9
301.16883116883116, 1.5997068484047498e-9
299.87012987012986, 1.457593300969297e-9
297.27272727272725, 1.9268525622797425e-9
